Date,Close,High,Low,Open,Volume,"('Close', 'BTC-JPY')","('High', 'BTC-JPY')","('Low', 'BTC-JPY')","('Open', 'BTC-JPY')","('Volume', 'BTC-JPY')"
2015-03-04,32664.53515625,34016.046875,32094.68359375,33734.4609375,4949820630.0,,,,,
2015-03-05,33152.41015625,33839.47265625,31819.939453125,32622.3125,4957940096.0,,,,,
2015-03-06,32953.1171875,33293.52734375,32388.30078125,33083.0234375,3494270687.0,,,,,
2015-03-07,33380.61328125,33573.09765625,32640.169921875,32901.28515625,2153903497.0,,,,,
2015-03-08,33125.50390625,33573.58203125,32934.02734375,33401.40234375,2664478246.0,,,,,
2015-03-09,35164.08203125,35457.796875,33072.58203125,33180.80078125,7185417044.0,,,,,
2015-03-10,35314.6328125,36380.3359375,35206.671875,35195.04296875,8202977632.0,,,,,
2015-03-11,35977.4453125,36118.13671875,35267.671875,35286.18359375,4122877821.0,,,,,
2015-03-12,35711.02734375,36054.6015625,35402.44140625,35946.859375,3953236464.0,,,,,
2015-03-13,34634.20703125,35752.0546875,34634.20703125,35682.3984375,3813941670.0,,,,,
2015-03-14,34215.203125,34756.19140625,34104.8671875,34525.56640625,2744680974.0,,,,,
2015-03-15,34742.3359375,34776.0234375,34107.29296875,34159.36328125,1452092831.0,,,,,
2015-03-16,35269.26953125,35658.140625,34665.01953125,34656.4453125,2611409057.0,,,,,
2015-03-17,34628.90234375,35460.94921875,34508.78515625,35269.515625,2607395388.0,,,,,
2015-03-18,30766.1328125,34619.81640625,30026.876953125,34575.7734375,6843240320.0,,,,,
2015-03-19,31501.837890625,31957.66796875,29801.51171875,30715.8359375,6366334360.0,,,,,
2015-03-20,31417.732421875,31975.09765625,31371.55859375,31505.216796875,2215357701.0,,,,,
2015-03-21,31210.80078125,31471.38671875,30685.66796875,31405.130859375,2056125903.0,,,,,
2015-03-22,32157.87890625,32377.734375,31158.587890625,31197.8359375,2212756381.0,,,,,
2015-03-23,31942.11328125,33206.31640625,31349.197265625,32150.078125,2731725025.0,,,,,
2015-03-24,29417.369140625,31997.638671875,29222.912109375,31922.595703125,4800027786.0,,,,,
2015-03-25,29420.54296875,29728.3671875,28306.115234375,29642.1953125,4286094550.0,,,,,
2015-03-26,29625.013671875,30341.888671875,29219.615234375,29429.982421875,3067016000.0,,,,,
2015-03-27,29421.154296875,30601.599609375,29261.267578125,29629.06640625,2057440590.0,,,,,
2015-03-28,30108.2421875,30275.81640625,29414.72265625,29414.72265625,1910471190.0,,,,,
2015-03-29,28941.09765625,30148.85546875,28709.3203125,30101.333984375,2587436456.0,,,,,
2015-03-30,29705.595703125,29953.904296875,28528.662109375,28960.892578125,2761382096.0,,,,,
2015-03-31,29299.552734375,29874.958984375,29104.40625,29696.953125,2719959840.0,,,,,
2015-04-01,29568.787109375,29605.904296875,28965.728515625,29299.43359375,2735655576.0,,,,,
2015-04-02,30282.169921875,30456.4375,29341.9375,29546.90234375,3144567494.0,,,,,
2015-04-03,30254.146484375,30643.2265625,30134.802734375,30290.427734375,2753519536.0,,,,,
2015-04-04,30179.794921875,30365.490234375,29870.857421875,30250.45703125,1486226760.0,,,,,
2015-04-05,30972.072265625,30976.009765625,29971.01953125,30187.408203125,2335307420.0,,,,,
